EdgeIndex;SourceNode;TargetNode;Length (m);FreeFlowTime (hr);Capacity (veh/hr)
1;1;2;6022.5;0.0616536511396282;7290
2;1;5;20800;0.184152377246569;3672
3;1;6;12951;0.133607582909216;6180
4;2;1;5919.9;0.0603790957421943;7353
5;2;3;5319.6;0.054343310355102;6558
6;3;2;5074.4;0.0515560172720345;6564
7;3;4;15813.8;0.155157608339806;6513
8;3;20;42989.3;0.390191412480145;3330
9;4;3;16089.4;0.155691646544633;6018
10;4;5;15349.3;0.134015654772992;6279
11;4;21;46337.2;0.389934429004208;5475
12;5;1;20520.9;0.196905664768911;3912
13;5;4;15616.6;0.13420158682326;5907
14;6;1;12926.9;0.13650417750792;5910
15;6;7;88299.6;0.794299606056972;5085
16;7;6;88330.3;0.813322946541339;4641
17;7;8;3307.4;0.0297930773561536;8508
18;7;9;7462.3;0.0633201137038608;5424
19;8;7;3714.6;0.0349295631391294;6834
20;9;7;6985.1;0.0593213910828025;5175
21;9;14;4930.6;0.0444567098955594;6855
22;10;11;6068.4;0.0568907934375;3924
23;11;10;5904.5;0.0556068463349553;3738
24;11;12;10051.8;0.0991667836724627;7551
25;11;14;14463.5;0.129615696560995;5721
26;12;11;9414;0.0931729783496227;7509
27;12;13;20154.7;0.181867075294206;5385
28;12;15;19176;0.164759540758243;6477
29;13;12;19895.1;0.174965903700989;5391
30;13;14;4265.1;0.041017513992627;6954
31;14;9;4860.4;0.0430758877400295;7236
32;14;11;14809.5;0.136378265889034;5670
33;14;13;4401.3;0.0412171946933042;6774
34;15;12;19209;0.166828857841789;6348
35;15;16;39887.7;0.377843689485317;5712
36;16;15;39503.3;0.38078486368383;5526
37;16;17;17009;0.147391346620451;4743
38;16;18;14506.2;0.131535967326583;5931
39;16;19;48109.9;0.433683158293269;5610
40;17;16;15375.1;0.134525310360919;4812
41;17;18;12724.6;0.110264980069324;4020
42;18;16;14413.7;0.131812409053498;5118
43;18;17;14050.8;0.121337155440414;3819
44;19;16;47680;0.425999850346214;5505
45;19;20;56484.7;0.507271390121239;6048
46;20;3;43557;0.399331146458859;3372
47;20;19;56426.2;0.500398810686177;6549
48;20;22;48855;0.440796974526316;5169
49;21;4;46009;0.398461100057737;6012
50;21;29;89175.8;0.772614051593805;4749
51;22;20;48688.8;0.432308721864595;5280
52;22;23;97982.7;0.933687391312634;5463
53;23;22;98450.2;0.942257074014994;5529
54;23;24;36417.7;0.351847455641882;6504
55;23;29;21857.1;0.209819937986481;7398
56;24;23;36275.4;0.345974203051979;6318
57;24;25;32028;0.305198468800127;6408
58;25;24;31884.6;0.30511550292823;5883
59;25;26;16053.5;0.147765195274987;5877
60;26;25;16912.6;0.154788945246539;5316
61;26;27;45423.1;0.416092267544027;7332
62;27;26;45330.2;0.423432498906317;6720
63;27;28;21631.8;0.208265222079589;8202
64;28;27;21616.5;0.213954388980535;7320
65;28;29;7146.3;0.0716866507836991;7734
66;28;30;13295.8;0.142940277548826;4233
67;29;21;89695.9;0.774537373102967;4698
68;29;23;21611.9;0.207557126722689;7428
69;29;28;6582.4;0.0635850233044878;8454
70;30;28;11260.9;0.107451519561069;4422
